timestamp,count,title,deadline
2025-02-05 21:43:08,1267,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-02-06 00:38:46,1848,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-02-06 07:31:53,2024,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-02-07 01:48:41,3877,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-02-07 14:33:39,4445,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-02-09 15:49:52,6579,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-02-15 02:20:47,8276,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-02-16 07:50:03,8341,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-02-20 08:23:04,8915,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-02-20 16:12:18,8966,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-03-02 17:21:58,9921,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-03-05 20:58:27,10218,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-03-07 03:57:38,10251,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-03-21 06:13:24,10471,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-04-04 04:45:44,10734,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-04-12 14:16:41,10769,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
2025-04-22 12:01:36,12581,Lift restrictions on prescribing puberty blockers to trans children.,2025-08-05
