timestamp,count,title,deadline
2025-01-04 15:47:57,261,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-01-04 21:42:13,432,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-01-05 11:07:55,613,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-01-09 00:55:40,3305,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-01-11 03:50:37,4147,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-01-13 00:02:07,4387,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-01-18 03:56:49,4744,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-01-19 01:09:54,4775,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-01-19 05:06:34,4777,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-02-13 16:09:14,5407,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-02-13 16:10:01,5407,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-02-13 16:10:09,5407,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-02-21 18:13:18,5609,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-02-24 01:42:15,6587,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-02-24 10:18:23,6674,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-02-25 00:17:50,6674,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-02-25 20:24:21,8389,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-02-25 23:09:54,8685,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-03-01 13:40:37,10530,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-03-07 09:38:36,11180,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-03-11 12:32:16,11359,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-03-11 16:45:59,11365,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-03-17 16:47:24,11491,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-03-20 11:37:48,11603,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-03-20 19:09:32,11659,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-03-28 09:03:46,11858,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-04-02 18:57:17,11894,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-04-17 13:11:36,18139,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-04-17 21:40:04,26716,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-04-18 19:57:07,44070,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-04-19 13:01:28,56963,Allow transgender people to self-identify their legal gender.,2025-06-12
2025-04-20 14:04:08,77479,Allow transgender people to self-identify their legal gender.,2025-06-12
